pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_1_sents,sub_2_sents,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents
2021-05-08,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3F3BAC4036B%7D&siteid=rss&rss=1,-0.040205639666463115,-0.9952124357223511,0.040399052728155284,1,0.040399052728155284,,0.040399052728155284,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10,https://www.fool.com/investing/2021/05/10/why-fuelcell-energy-stock-just-dropped-10/?source=iedfolrf0000001,0.49839526522397776,-0.029834896326065063,0.5732544712219554,2,0.04176055453924883,1.104748387904662,0.04176055453924883,1.104748387904662,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10,https://www.fool.com/investing/2021/05/10/why-plug-power-nikola-and-bloom-energy-stocks-drop/?source=iedfolrf0000001,-0.039028036347073074,-0.9524907271067301,0.04104655387864493,3,0.042047891888910595,0.03656835757185338,0.042047891888910595,0.03656835757185338,0.04452341217517079,,,,,,,,,,,,0.04452341217517079,,,,,,,,,,,
2021-05-10,https://www.benzinga.com/intraday-update/21/05/21036993/12-industrials-stocks-moving-in-mondays-intraday-session,-0.043993198464887355,-0.998528003692627,0.04405805175437985,1,0.04405805175437985,,0.04405805175437985,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10,https://www.fool.com/investing/2021/05/10/plug-power-provides-business-update-forecasts-reco/?source=iedfolrf0000001,-0.03384004493379881,-0.8655927777290344,0.03865163985012501,2,0.04171037680313023,0.035592902897119784,0.04171037680313023,0.035592902897119784,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11,https://www.fool.com/investing/2021/05/11/5-growth-stocks-down-50-with-upside-of-62-to-133/?source=iedfolrf0000001,-0.047691986272359065,-0.9902719855308533,0.04816049223768853,1,0.04816049223768853,,0.04816049223768853,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11,https://www.fool.com/investing/2021/05/11/why-plug-power-stock-dropped-then-popped-tuesday/?source=iedfolrf0000001,-0.04006170817134476,-0.9916374981403351,0.04036471090609651,2,0.04594447560984701,0.034784946202346005,0.04594447560984701,0.034784946202346005,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11,https://www.benzinga.com/intraday-update/21/05/21064999/12-industrials-stocks-moving-in-tuesdays-intraday-session,-0.04287170966333572,-0.9972245693206787,0.04299102828216561,1,0.04299102828216561,,0.04299102828216561,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11,https://www.fool.com/investing/2021/05/11/why-fuelcell-energy-stock-sold-off-this-morning/?source=iedfolrf0000001,-0.045656221807547984,-0.9990748167037964,0.04569736885376753,2,0.042201664035929905,0.04919307367160515,0.042201664035929905,0.04919307367160515,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,https://www.fool.com/investing/2021/05/12/why-plug-power-bloom-energy-and-nikola-stocks-slip/?source=iedfolrf0000001,-0.046392511597814934,-0.998159646987915,0.046478702056134,3,0.0463850365691781,0.04738803615829566,0.0463850365691781,0.04738803615829566,0.04566303344092822,,,,,,,,,,,,0.04566303344092822,,,,,,,,,,,
2021-05-12,https://www.fool.com/investing/2021/05/12/the-only-fuel-cell-stock-thats-a-buy/?source=iedfolrf0000001,0.043760552611910475,0.9931687414646149,0.04407615673626509,2,0.04174461032729512,0.046407703145235055,0.04174461032729512,0.046407703145235055,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,https://www.benzinga.com/news/21/05/21076718/56-biggest-movers-from-yesterday,-0.040967564348597565,-0.998336672782898,0.04103582034545427,1,0.04103582034545427,,0.04103582034545427,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13,http://www.zacks.com/stock/news/1545689/implied-volatility-surging-for-plug-power-plug-stock-options?cid=CS-ZC-FT-tale_of_the_tape|options-1545689,-1.1161629236486068,-0.9908903241157532,1.1264242837820058,1,1.1264242837820058,,1.1264242837820058,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13,https://www.fool.com/investing/2021/05/13/why-plug-power-popped-again-thursday/?source=iedfolrf0000001,-0.04593583519815127,-0.9944109320640564,0.04619554155715849,2,0.04481750432382619,0.04757357879049079,0.04481750432382619,0.04757357879049079,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,https://www.fool.com/investing/2021/05/14/heres-why-plug-power-stock-jumped-friday-morning/?source=iedfolrf0000001,-0.03558184680055664,-0.8583556413650513,0.04202398523369927,3,0.04484312297907251,0.03571571250150929,0.04484312297907251,0.03571571250150929,0.045513120220516,,,,,,,,,,,,0.045513120220516,,,,,,,,,,,
2021-05-14,https://www.fool.com/investing/2021/05/14/plug-power-finalizes-reissued-financial-statements/?source=iedfolrf0000001,-0.046280267420440724,-0.993349015712738,0.04659013769418613,1,0.04659013769418613,,0.04659013769418613,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,https://www.fool.com/investing/2021/05/14/nasdaq-soaring-investors-watching-2-winning-stocks/?source=iedfolrf0000001,-0.012830557442226035,-0.2337392270565033,0.04459289847099587,2,0.04141274475553697,0.04777305218645477,0.04141274475553697,0.04777305218645477,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-741E-585952D182EA%7D&siteid=rss&rss=1,-0.13240262574508088,-0.9914273023605347,0.13377011289763435,2,0.04197974360509943,0.22556048219016928,0.04197974360509943,0.22556048219016928,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,https://www.fool.com/investing/2021/05/14/better-buy-plug-power-vs-bloom-energy/?source=iedfolrf0000001,-0.17922966854236602,-0.48933444917201996,0.19738339921886827,4,0.04558308747538039,0.03494882108952705,0.04558308747538039,0.03494882108952705,0.6635280705529499,0.04547361775761577,,,,,,,,,,,0.6635280705529499,0.04547361775761577,,,,,,,,,,
2021-05-15,https://www.fool.com/investing/2021/05/15/4-large-cap-stocks-turned-200000-into-1-million/?source=iedfolrf0000001,-0.0035135600451792655,0.08408623933792114,0.04081607099941981,2,0.048506512738304614,0.03312562926053501,0.048506512738304614,0.03312562926053501,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17,https://www.fool.com/investing/2021/05/17/wall-street-thinks-plug-power-has-134-upside-heres/?source=iedfolrf0000001,-0.19669857204744184,-0.9928063750267029,0.19723278109758002,4,0.04692673496407791,0.04615898683570156,0.04692673496407791,0.04615898683570156,0.6501321624044489,0.04571324018609165,,,,,,,,,,,0.6501321624044489,0.04571324018609165,,,,,,,,,,
2021-05-17,https://www.fool.com/investing/2021/05/17/5-risky-stocks-with-138-to-216-upside-wall-street/?source=iedfolrf0000001,-0.04763193095711649,-0.9982252717018127,0.04771661498402234,1,0.04771661498402234,,0.04771661498402234,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17,https://www.fool.com/investing/2021/05/17/analyst-slashes-plug-power-price-target-but-theres/?source=iedfolrf0000001,-0.46180221582663183,-0.9904347956180573,0.46998242467860724,2,0.8930807179569787,0.04688413140023575,0.8930807179569787,0.04688413140023575,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-18,https://www.fool.com/investing/2021/05/18/why-plug-power-bloom-energy-and-nikola-stocks-all/?source=iedfolrf0000001,1.0548005766414739,0.8437853753566742,1.0848757234108006,2,0.04218344486197111,2.1275680019596304,0.04218344486197111,2.1275680019596304,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-19,https://www.fool.com/investing/2021/05/19/plug-power-buy-the-dip/?source=iedfolrf0000001,-0.49386636409911827,-0.9957577784856161,0.4953593627758372,3,0.04460005359848434,1.196470295770743,0.04460005359848434,1.196470295770743,0.24500773895828432,,,,,,,,,,,,0.24500773895828432,,,,,,,,,,,
2021-05-22,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-7438-DAEF09F74662%7D&siteid=rss&rss=1,-0.2988966060447742,-0.9593513011932373,0.31156116187366173,1,0.31156116187366173,,0.31156116187366173,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26,https://www.fool.com/investing/2021/05/26/why-clean-energy-stocks-are-up-today/?source=iedfolrf0000001,0.6939727807927164,0.019570529460906982,0.77093812319711,2,0.04479113121300422,1.4970851151812157,0.04479113121300422,1.4970851151812157,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-7453-3F255D9EBA3E%7D&siteid=rss&rss=1,-0.040088523447251896,-0.917087972164154,0.04371284398447683,1,0.04371284398447683,,0.04371284398447683,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,https://www.benzinga.com/markets/options/21/05/21346280/jon-najarian-sees-unusual-options-activity-in-nucor-corporation-plug-power,-0.0413524963227215,-0.9878625869750977,0.04186057541600563,1,0.04186057541600563,,0.04186057541600563,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,https://www.benzinga.com/analyst-ratings/upgrades/21/05/21339519/benzingas-top-ratings-upgrades-downgrades-for-may-28-2021,-0.046383330397873755,-0.996095597743988,0.04656513943332875,1,0.04656513943332875,,0.04656513943332875,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,https://www.benzinga.com/analyst-ratings/analyst-color/21/05/21341822/why-btig-is-bullish-on-plug-power-nikola,-0.5225524366596851,0.01994878053665161,0.8452517473391787,2,1.4019671170917873,0.2885363775865701,1.4019671170917873,0.2885363775865701,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,https://www.fool.com/investing/2021/05/28/why-nikola-and-plug-power-stocks-rose-today/,-0.26014486945123816,-0.9915837943553925,0.2624426209654396,2,0.29149221604719816,0.23339302588368105,0.29149221604719816,0.23339302588368105,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,http://www.zacks.com/stock/news/1638731/should-you-buy-plug-power-plug-ahead-of-earnings?cid=CS-ZC-FT-tale_of_the_tape|earnings_surprise-1638731,0.04439516546468385,0.9975473582744598,0.04450323903249077,2,0.048305815132901546,0.04070066293207999,0.048305815132901546,0.04070066293207999,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,http://www.zacks.com/stock/news/1654417/renault-rnlsy-power-plug-form-hydrogen-mobility-jv-in-europe?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1654417,0.33332331352985184,0.33231131235758465,1.091094279619017,3,1.1186565390229462,1.0195301554082181,1.1186565390229462,1.0195301554082181,1.1350961444258871,,,,,,,,,,,,1.1350961444258871,,,,,,,,,,,
2021-06-04,https://www.fool.com/investing/2021/06/04/why-plug-power-stock-rose-friday/,0.5364184657817749,0.15883976221084595,0.5679207214914965,2,1.1009868190564709,0.03485462392652221,1.1009868190564709,0.03485462392652221,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,https://www.fool.com/investing/2021/06/07/why-plug-power-bloom-energy-and-fuelcell-energy-st/,-0.0994396716229354,-0.20807626843452454,0.13503936952707093,2,0.044842936135840825,0.22523580291830106,0.044842936135840825,0.22523580291830106,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,https://www.fool.com/investing/2021/06/08/5-high-octane-growth-stocks-with-54-to-94-upside/,-0.028635095427703077,-0.5940952897071838,0.04819949917767682,1,0.04819949917767682,,0.04819949917767682,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-10,https://www.fool.com/investing/2021/06/10/where-will-plug-power-be-in-5-years/,-0.013535876820017279,-0.3234798312187195,0.045437970633767866,3,0.047366542854316795,0.04051084376795795,0.047366542854316795,0.04051084376795795,0.048436525279028864,,,,,,,,,,,,0.048436525279028864,,,,,,,,,,,
2021-06-11,https://www.fool.com/investing/2021/06/11/better-buy-plug-power-vs-chargepoint/,-0.0432282554957191,-0.9730845888455709,0.044427538840689014,3,0.04559297659188486,0.04126514569251302,0.04559297659188486,0.04126514569251302,0.04642449423766917,,,,,,,,,,,,0.04642449423766917,,,,,,,,,,,
