index,index,index.1,pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_15_rel,sub_16_rel,sub_17_rel,sub_18_rel,sub_19_rel,sub_20_rel,sub_21_rel,sub_22_rel,sub_23_rel,sub_24_rel,sub_25_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents,sub_15_sents,sub_16_sents,sub_17_sents,sub_18_sents,sub_19_sents,sub_20_sents,sub_21_sents,sub_22_sents,sub_23_sents,sub_24_sents,sub_25_sents
606,,,2021-09-26,https://www.fool.com/investing/2021/09/27/3-reasons-to-buy-amd-stock-over-nvidia/,-0.414634859216949,0.000766366720199585,0.46722114440404844,2,0.8885361586592625,0.04590613014883441,,,,,,,,,,,,,,,,,,,,,,,,0.8885361586592625,0.04590613014883441,,,,,,,,,,,,,,,,,,,,,,,
619,,,2021-09-26,http://feeds.benzinga.com/~r/benzinga/trading-ideas/~3/_P059SYUanY/how-apple-microsoft-and-nvidia-stocks-are-reversing-course-and-what-to-watch-for,-0.05183344762969002,-0.9962316155433655,0.052019601487117074,3,0.04688080614269227,0.048579648432356015,0.06059834988630295,,,,,,,,,,,,,,,,,,,,,,,0.04688080614269227,0.048579648432356015,0.06059834988630295,,,,,,,,,,,,,,,,,,,,,,
590,,,2021-09-27,https://www.benzinga.com/news/21/09/23117172/microsoft-steams-up-zoom-rivalry-with-latest-phone-features,-0.9824859943648294,-0.991016149520874,0.9913925164991825,1,0.9913925164991825,,,,,,,,,,,,,,,,,,,,,,,,,0.9913925164991825,,,,,,,,,,,,,,,,,,,,,,,,
595,,,2021-09-28,https://www.benzinga.com/news/21/09/23126161/microsoft-ceo-says-working-on-acquiring-this-company-was-the-strangest-thing-ever,-0.0635938122386001,-0.9969968795776367,0.06378536737802097,1,0.06378536737802097,,,,,,,,,,,,,,,,,,,,,,,,,0.06378536737802097,,,,,,,,,,,,,,,,,,,,,,,,
607,,,2021-09-28,http://feeds.benzinga.com/~r/benzinga/tech/~3/S8W9GLHhEmc/microsoft-stock-was-rejected-at-resistance-and-might-be-cooling-off-as-tech-stocks-drop-,-0.4800976774674275,-0.9988327324390411,0.48040974250723883,2,0.9119234312633357,0.04889605375114195,,,,,,,,,,,,,,,,,,,,,,,,0.9119234312633357,0.04889605375114195,,,,,,,,,,,,,,,,,,,,,,,
601,,,2021-09-28,https://www.benzinga.com/news/21/09/23126161/microsoft-ceo-says-working-on-acquiring-this-company-was-the-strangest-thing-he-has-ever-worked-on,-0.0635938122386001,-0.9969968795776367,0.06378536737802097,1,0.06378536737802097,,,,,,,,,,,,,,,,,,,,,,,,,0.06378536737802097,,,,,,,,,,,,,,,,,,,,,,,,
615,,,2021-09-28,http://feeds.benzinga.com/~r/benzinga/tech/~3/A19qOq73xLM/early-facebook-investor-says-these-3-faang-names-will-outperform-because-of-next-gen-tec,-0.17364619066957007,-0.9936768412590027,0.17475117005802196,1,0.17475117005802196,,,,,,,,,,,,,,,,,,,,,,,,,0.17475117005802196,,,,,,,,,,,,,,,,,,,,,,,,
596,,,2021-09-29,http://feeds.benzinga.com/~r/benzinga/markets/futures/~3/_ybszhs4hG4/technology-stocks-pull-down-the-s-p-500-can-other-sectors-pull-it-higher,-0.24199306157331327,-0.9992496371269226,0.24217478053742422,1,0.24217478053742422,,,,,,,,,,,,,,,,,,,,,,,,,0.24217478053742422,,,,,,,,,,,,,,,,,,,,,,,,
589,,,2021-09-29,https://www.benzinga.com/markets/options/21/09/23165793/options-trading-microsofts-smart-money-trades-for-september-29,-0.7542557525088346,-0.9756278693675995,0.7898285205171234,2,1.5214937866242038,0.05816325441004299,,,,,,,,,,,,,,,,,,,,,,,,1.5214937866242038,0.05816325441004299,,,,,,,,,,,,,,,,,,,,,,,
592,,,2021-09-30,http://feeds.benzinga.com/~r/benzinga/news/retail-sales/~3/KoR5QObEqOY/closing-out-the-quarter-tech-rebounds-a-bit-but-supply-chain-issues-slam-bed-bath-beyond,-0.045366722807728646,-0.9979984164237976,0.045457710213904566,1,0.045457710213904566,,,,,,,,,,,,,,,,,,,,,,,,,0.045457710213904566,,,,,,,,,,,,,,,,,,,,,,,,
585,,,2021-09-30,https://www.benzinga.com/pressreleases/21/09/n23177039/thinking-about-trading-options-or-stock-in-microsoft-bed-bath-beyond-exxon-mobil-alibaba-or-daqo-n,-0.04255838537150446,-0.8596826791763306,0.04950476077089284,1,0.04950476077089284,,,,,,,,,,,,,,,,,,,,,,,,,0.04950476077089284,,,,,,,,,,,,,,,,,,,,,,,,
