pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_15_rel,sub_16_rel,sub_17_rel,sub_18_rel,sub_19_rel,sub_20_rel,sub_21_rel,sub_22_rel,sub_23_rel,sub_24_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents,sub_15_sents,sub_16_sents,sub_17_sents,sub_18_sents,sub_19_sents,sub_20_sents,sub_21_sents,sub_22_sents,sub_23_sents,sub_24_sents
5/21/2021,https://www.fool.com/investing/2021/05/21/earnings-roundup-palantir-virgin-galactic-and-tran/?source=iedfolrf0000001,-0.031017613,-0.986099005,0.031454867,1,0.031454867,,,,,,,,,,,,,,,,,,,,,,,,0.031454867,,,,,,,,,,,,,,,,,,,,,,,
5/21/2021,https://www.fool.com/investing/2021/05/21/better-buy-dogecoin-vs-ethereum/?source=iedfolrf0000001,-0.186707423,-0.995766282,0.18750125,1,0.18750125,,,,,,,,,,,,,,,,,,,,,,,,0.18750125,,,,,,,,,,,,,,,,,,,,,,,
5/21/2021,https://www.fool.com/investing/2021/05/21/3-stocks-im-buying-if-the-market-crashes-tomorrow/?source=iedfolrf0000001,0.105631051,0.965954542,0.10935406,1,0.10935406,,,,,,,,,,,,,,,,,,,,,,,,0.10935406,,,,,,,,,,,,,,,,,,,,,,,
5/22/2021,https://www.fool.com/investing/2021/05/22/3-sell-off-stocks-that-could-set-you-up-for-life/?source=iedfolrf0000001,0.025426016,0.995721817,0.02553526,1,0.02553526,,,,,,,,,,,,,,,,,,,,,,,,0.02553526,,,,,,,,,,,,,,,,,,,,,,,
5/22/2021,https://www.fool.com/investing/2021/05/22/3-value-stocks-to-buy-as-growth-stocks-and-cryptoc/?source=iedfolrf0000001,-0.05053287,-0.812670857,0.071927067,2,0.02694065,0.116913483,,,,,,,,,,,,,,,,,,,,,,,0.02694065,0.116913483,,,,,,,,,,,,,,,,,,,,,,
5/24/2021,http://www.zacks.com/stock/news/1598546/ibm-to-aid-pitney-bowes-pbi-in-deployment-of-hybrid-cloud?cid=CS-ZC-FT-analyst_blog|company_news_tech_sector-1598546,0.494954275,-0.331344108,0.59791275,3,1.650556657,0.115513462,0.027668132,,,,,,,,,,,,,,,,,,,,,,1.650556657,0.115513462,0.027668132,,,,,,,,,,,,,,,,,,,,,
5/24/2021,http://www.zacks.com/stock/news/1598462/vmware-vmw-to-report-q1-earnings-whats-in-the-cards?cid=CS-ZC-FT-analyst_blog|earnings_preview-1598462,0.024705121,0.985019803,0.025080837,1,0.025080837,,,,,,,,,,,,,,,,,,,,,,,,0.025080837,,,,,,,,,,,,,,,,,,,,,,,
5/25/2021,https://www.fool.com/investing/2021/05/25/danger-lurks-for-these-3-high-yield-dividend-stock/?source=iedfolrf0000001,-0.03310574,-0.983587459,0.033667082,4,0.03233571,0.034445537,0.036452808,0.031434275,,,,,,,,,,,,,,,,,,,,,0.03233571,0.034445537,0.036452808,0.031434275,,,,,,,,,,,,,,,,,,,,
5/26/2021,https://www.fool.com/investing/2021/05/26/2-stocks-with-world-class-dividends/?source=iedfolrf0000001,0.013357371,0.357960224,0.02963672,3,0.026956991,0.036659104,0.025294065,,,,,,,,,,,,,,,,,,,,,,0.026956991,0.036659104,0.025294065,,,,,,,,,,,,,,,,,,,,,
5/26/2021,https://www.fool.com/investing/2021/05/26/strong-earnings-just-sent-these-2-nasdaq-stocks-so/?source=iedfolrf0000001,0.114913639,0.99626416,0.115344548,1,0.115344548,,,,,,,,,,,,,,,,,,,,,,,,0.115344548,,,,,,,,,,,,,,,,,,,,,,,
