index,index,pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents
85,,2021-12-04,https://slickdeals.net/f/15476617-hp-pavilion-gaming-desktop-rtx-3060-ti-i5-11400-8gb-ddr4-256gb-ssd-1-061-99-free-shipping-1061?utm_source=rss&utm_content=def&utm_medium=RSS2,-0.04322662787366607,-0.9860804975032806,0.04382752733884765,2,0.04307989403315873,0.044575160644536566,,,,,,,,,0.04307989403315873,0.044575160644536566,,,,,,,,
80,,2021-12-04,https://askubuntu.com/questions/1379179/laptop-fan-runs-at-full-speed-for-a-few-minutes-on-startup,-0.0434859844022858,-0.9976643323898315,0.04358779099390907,1,0.04358779099390907,,,,,,,,,,0.04358779099390907,,,,,,,,,
79,,2021-12-04,https://economictimes.indiatimes.com/markets/cryptocurrency/the-new-world-of-metaverse-and-ownership-via-nfts/articleshow/88086769.cms,-0.025878611972221723,-0.5927751064300537,0.043656711780752464,1,0.043656711780752464,,,,,,,,,,0.043656711780752464,,,,,,,,,
78,,2021-12-04,https://mspoweruser.com/microsoft-integrates-browser-searches-into-windows-search/,0.03541062586178171,0.8483086824417114,0.04174261868905819,1,0.04174261868905819,,,,,,,,,,0.04174261868905819,,,,,,,,,
77,,2021-12-04,https://www.theregister.com/2021/12/04/battlefield_2042/,-0.04137976135637748,-0.9808161854743958,0.042189109406226964,1,0.042189109406226964,,,,,,,,,,0.042189109406226964,,,,,,,,,
76,,2021-12-04,https://www.thewindowsclub.com/doom-eternal-crashing-on-startup-after-loading,-0.04096635737719663,-0.9984667897224426,0.04102926386623696,1,0.04102926386623696,,,,,,,,,,0.04102926386623696,,,,,,,,,
75,,2021-12-04,https://www.hotukdeals.com/deals/lenovo-yoga-slim-7-pro-gen-6-16-ips-touch-amd-ryzen-7-5800h-laptop-ps89999-at-lenovo-3843282,0.03362288894573605,0.8529179096221924,0.03946746495525452,2,0.03990462404526986,0.03903030586523918,,,,,,,,,0.03990462404526986,0.03903030586523918,,,,,,,,
74,,2021-12-04,https://www.wsj.com/articles/nvidias-deal-setback-eased-by-soaring-chip-demand-11638622801,-0.05135637959115401,-0.9940499067306519,0.05166378392415015,1,0.05166378392415015,,,,,,,,,,0.05166378392415015,,,,,,,,,
73,,2021-12-04,https://www.notebookcheck.net/Despite-the-silicon-shortage-graphics-card-shipments-recorded-a-25-percent-increase-this-year-raising-questions-about-the-impact-of-scalping-and-crypto-mining.582727.0.html,-0.03972332281623228,-0.9447218179702759,0.04210950986510861,2,0.043248587863425565,0.04097043186679167,,,,,,,,,0.043248587863425565,0.04097043186679167,,,,,,,,
84,,2021-12-04,https://www.techradar.com/news/is-nvidia-geforce-now-rtx-3080-the-next-generation-of-cloud-gaming,0.7125638992961516,0.444324859551021,1.0481029355435856,7,1.114755224014414,1.1041511399206605,0.05357031375849395,1.1116568529699271,1.889259082706639,0.05566242652771624,2.007665508907248,,,,1.114755224014414,1.1041511399206605,0.05357031375849395,1.1116568529699271,1.889259082706639,0.05566242652771624,2.007665508907248,,,
48,,2021-12-04,https://mspoweruser.com/microsoft-launcher-redesigned-new-feeds/,0.030849751731768717,0.7485442757606506,0.04121299531737121,1,0.04121299531737121,,,,,,,,,,0.04121299531737121,,,,,,,,,
