pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_1_sents,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_15_rel,sub_16_rel,sub_17_rel,sub_18_rel,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents,sub_15_sents,sub_16_sents,sub_17_sents,sub_18_sents
5/28/2021,http://www.zacks.com/stock/news/1620171/general-electric-ge-receives-multiple-contracts-shares-rise?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1620171,-0.794875024,-0.924339771,0.853116539,2,0.289885192,0.289885192,1.416347887,,,,,,,,,,,,,,,,,1.416347887,,,,,,,,,,,,,,,,
5/28/2021,http://www.zacks.com/stock/news/1618874/general-electric-ge-soars-71-is-further-upside-left-in-the-stock?cid=CS-ZC-FT-tale_of_the_tape|daily_price_change_5%-1618874,0.264095572,0.929111004,0.284245446,1,0.284245446,0.284245446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2021,https://www.fool.com/investing/2021/05/29/3-great-stocks-you-can-buy-on-sale/?source=iedfolrf0000001,0.361333054,-0.332670927,0.637730352,3,0.204743307,0.204743307,0.208434575,1.500013174,,,,,,,,,,,,,,,,0.208434575,1.500013174,,,,,,,,,,,,,,,
5/30/2021,https://www.fool.com/investing/2021/05/30/could-nano-x-be-a-millionaire-maker-stock/?source=iedfolrf0000001,1.529842559,0.998313189,1.532427475,1,1.532427475,1.532427475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2021,http://www.zacks.com/stock/news/1633771/why-general-electric-ge-is-a-top-stock-for-the-long-term?cid=CS-ZC-FT-tale_of_the_tape|zacks_education_focus_list-1633771,0.616628331,0.982760578,0.621807062,2,0.20657142,0.20657142,1.037042705,,,,,,,,,,,,,,,,,1.037042705,,,,,,,,,,,,,,,,
5/31/2021,https://www.investing.com/analysis/6-stock-market-predictions-for-the-week-of-june-1-200583419,-0.200772933,-0.999389887,0.200895502,1,0.200895502,0.200895502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2021,http://www.zacks.com/stock/news/1634265/hc2-holdings-hchc-unit-buys-banker-steel-enters-credit-agreement?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1634265,0.172351368,0.87626493,0.196688652,1,0.196688652,0.196688652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2021,https://www.investing.com/analysis/what-the-att-dividend-cut-really-means-and-3-huge-dividends-to-buy-instead-200583323,-0.208943408,-0.997655272,0.209434475,1,0.209434475,0.209434475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2021,http://www.zacks.com/stock/news/1638180/the-zacks-analyst-blog-highlights-facebook-visa-disney-exxon-mobil-and-general-electric?cid=CS-ZC-FT-press_releases-1638180,-0.462633605,-0.809201062,0.571716507,1,0.571716507,0.571716507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2021,https://www.fool.com/investing/2021/06/03/2-billion-reasons-why-general-electric-can-outperf/?source=iedfolrf0000001,-0.202239745,-0.237343609,0.386140615,5,0.257333443,0.257333443,0.269163437,0.891877162,0.28701809,0.225310942,,,,,,,,,,,,,,0.269163437,0.891877162,0.28701809,0.225310942,,,,,,,,,,,,,
6/4/2021,https://www.benzinga.com/markets/18/06/11822060/this-day-in-market-history-kidder-peabody-co-pays-25m-insider-,-0.276830792,-0.998879254,0.277141397,1,0.277141397,0.277141397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2021,https://www.investing.com/analysis/3-oil-services-stocks-to-buy-now-200584402,0.265978539,0.989965141,0.268674651,1,0.268674651,0.268674651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2021,https://www.fool.com/investing/2021/06/06/better-buy-ge-vs-honeywell/,0.105996479,0.227938712,0.324357454,5,0.280771278,0.280771278,0.283418539,0.57183118,0.260455184,0.225311089,,,,,,,,,,,,,,0.283418539,0.57183118,0.260455184,0.225311089,,,,,,,,,,,,,
6/7/2021,https://www.benzinga.com/analyst-ratings/analyst-color/21/06/21453609/general-electric-analyst-weighs-in-on-ceo-larry-culps-latest-guidance,-1.112057624,-0.934234023,1.190341603,1,1.190341603,1.190341603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2021,https://www.benzinga.com/trading-ideas/technicals/21/06/21471430/this-is-the-critical-level-for-ges-stock,-0.234456389,-0.826091468,0.283814079,1,0.283814079,0.283814079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2021,https://www.zacks.com/stock/news/1680483/general-electric-ge-prices-tender-offer-to-reduce-debt,-0.224823285,-0.863687068,0.258887006,2,0.268758308,0.268758308,0.249015703,,,,,,,,,,,,,,,,,0.249015703,,,,,,,,,,,,,,,,
6/10/2021,https://www.zacks.com/stock/news/1685444/general-electric-ge-xignuxs-jv-unit-to-buy-spx-transformer,1.550375888,0.996795118,1.555360636,1,1.555360636,1.555360636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2021,https://www.zacks.com/research-daily/1691375/top-analyst-reports-for-microsoft-nike-novo-nordisk,2.496540838,0.998127162,2.501225227,1,2.501225227,2.501225227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2021,https://www.zacks.com/stock/news/1704748/the-zacks-analyst-blog-highlights-microsoft-nike-novo-nordisk-caterpillar-and-general-electric,0.498076065,0.844890594,0.589515457,1,0.589515457,0.589515457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2021,https://www.marketwatch.com/story/dow-s-p-500-set-for-muted-rise-to-records-as-stock-market-gears-up-for-fed-meeting-11623668688,-0.197282366,-0.994485795,0.198376253,1,0.198376253,0.198376253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2021,https://www.marketwatch.com/story/infrastructure-talks-are-faltering-but-these-stocks-can-still-benefit-from-the-biden-plan-citi-says-11623669739,-0.143083654,-0.701280236,0.204032064,1,0.204032064,0.204032064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2021,https://www.zacks.com/stock/news/1717367/earnings-growth-price-strength-make-general-electric-ge-a-stock-to-watch,0.607052966,0.966019213,0.621055856,2,0.20628789,0.20628789,1.035823822,,,,,,,,,,,,,,,,,1.035823822,,,,,,,,,,,,,,,,
6/17/2021,https://www.zacks.com/stock/news/1723388/general-electric-ge-arm-clinches-wind-turbine-deal-in-india,-1.456519116,-0.954742253,1.525562644,1,1.525562644,1.525562644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2021,https://www.benzinga.com/trading-ideas/long-ideas/21/06/21630889/intel-and-walgreens-lead-the-dow-jones-lower-friday,-0.213866036,-0.996255755,0.214669812,1,0.214669812,0.214669812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
